id;youtube_url;artist;title;year
124;https://music.youtube.com/watch?v=JHnk5LyVNME;Pokémon Theme;New Studio Recording;2020
125;https://music.youtube.com/watch?v=iVusUjyby18;The Moody Blues;Nights In White Satin;1967
126;https://music.youtube.com/watch?v=yKNxeF4KMsY;Coldplay;Yellow;2000
127;https://music.youtube.com/watch?v=Zi_XLOBDo_Y;Michael Jackson;Billie Jean;1982
128;https://music.youtube.com/watch?v=vabnZ9-ex7o;Nirvana;Come As You Are;1991
129;https://music.youtube.com/watch?v=W3q8Od5qJio;Rammstein;Du Hast;1997
130;https://music.youtube.com/watch?v=YlUKcNNmywk;Red Hot Chili Peppers;Californication;1999
131;https://music.youtube.com/watch?v=eFjjO_lhf9c;Bryan Adams;Summer Of '69;1984
132;https://music.youtube.com/watch?v=0qanF-91aJo;BLACK SABBATH;Paranoid;1970
133;https://music.youtube.com/watch?v=Rbm6GXllBiw;Guns N' Roses;Paradise City;1987
134;https://music.youtube.com/watch?v=UvEmwYg6aFw;classic rock channel;We Will Rock You (Remastered) (Queen);2020
135;https://music.youtube.com/watch?v=5leVQeK_3Ws;Hazes;Bloed, Zweet & Tranen;2002
136;https://music.youtube.com/watch?v=u1V8YRJnr4Q;Creedence Clearwater Revival;Have You Ever Seen The Rain;2025
137;https://music.youtube.com/watch?v=Fk-4lXLM34g;Kate Bush;Wuthering Heights - Official Music Video - Version 2;2020
138;https://music.youtube.com/watch?v=LeRg8LUwP4g;Eagles;The Last Resort (2013 Remaster);1976
139;https://music.youtube.com/watch?v=r8OipmKFDeM;Oasis;Don't Look Back In Anger;2025
140;https://music.youtube.com/watch?v=2Vv-BfVoq4g;Ed Sheeran;Perfect;2017
141;https://music.youtube.com/watch?v=n_j1clPqEvg;Davina Michelle;Duurt te lang;2018
142;https://music.youtube.com/watch?v=f4Mc-NYPHaQ;Queen;I Want To Break Free;1984
143;https://music.youtube.com/watch?v=VPRjCeoBqrI;Coldplay;A Sky Full Of Stars;2014
144;https://music.youtube.com/watch?v=StZcUAPRRac;Rammstein;Sonne;2001
145;https://music.youtube.com/watch?v=1Z0jSNaIc4Q;Bruce Springsteen;Streets of Philadelphia (Single Edit);1995
146;https://music.youtube.com/watch?v=ADQHhgKmMbU;Fleetwood Mac;The Chain (2004 Remaster);1977
147;https://music.youtube.com/watch?v=lB6a-iD6ZOY;Sting;Fragile;1987
148;https://music.youtube.com/watch?v=aGSKrC7dGcY;Depeche Mode;Enjoy the Silence (Remastered);2020
149;https://music.youtube.com/watch?v=JIqPaVAE0LE;Kyteman;Sorry (Live @ Tivoli);2009
150;https://music.youtube.com/watch?v=gBiNR9SY7Gw;Deep Purple;Smoke On The Water (Remastered);1972
151;https://music.youtube.com/watch?v=lWNOLqs1IPQ;Within Temptation;Ice Queen;2000
152;https://music.youtube.com/watch?v=GlPlfCy1urI;Elton John;Your Song (Top Of The Pops 1971);2020
153;https://music.youtube.com/watch?v=l3LFML_pxlY;Simon & Garfunkel;The Boxer;1970
154;https://music.youtube.com/watch?v=QYEC4TZsy-Y;Lou Reed;Perfect Day;1972
155;https://music.youtube.com/watch?v=MS91knuzoOA;Pearl Jam;Jeremy;1991
156;https://music.youtube.com/watch?v=rYEDA3JcQqw;Adele;Rolling in the Deep;2011
157;https://music.youtube.com/watch?v=IcrbM1l_BoI;Avicii;Wake Me Up;2013
158;https://music.youtube.com/watch?v=2puubv2e0L4;PROCOL HARUM;A Whiter Shade Of Pale - promo film #2;2020
159;https://music.youtube.com/watch?v=qlZqEFbVxgo;This Is Queen;Radio Ga Ga (Remastered 2011);2020
160;https://music.youtube.com/watch?v=cNMXSKfWfLQ;De Jeugd Van Tegenwoordig;Sterrenstof;2010
161;https://music.youtube.com/watch?v=aelpqWEBHR4;Eagles;Desperado (2013 Remaster);1973
162;https://music.youtube.com/watch?v=HQmmM_qwG4k;Led Zeppelin;Whole Lotta Love;1969
163;https://music.youtube.com/watch?v=HThgAQksAjI;kitome3;Ramses Shaffy  Zing vecht huil bid lach werk en bewonder;2020
164;https://music.youtube.com/watch?v=Urw-iutHw5E;Falco;Jeanny (Video);2020
165;https://music.youtube.com/watch?v=oFrvRiixXcA;Duncan Laurence;Arcade;2019
166;https://music.youtube.com/watch?v=XAi3VTSdTxU;Michael Jackson;Earth Song;1995
167;https://music.youtube.com/watch?v=Gs069dndIYk;Earth, Wind & Fire;September;1978
168;https://music.youtube.com/watch?v=yYTVyhSaAMU;U2;The Unforgettable Fire (Remastered 2009);1984
169;https://music.youtube.com/watch?v=02QUmKVsyFY;Tina Turner;Proud Mary;1993
170;https://music.youtube.com/watch?v=wTP2RUD_cL0;Dire Straits;Money For Nothing;1985
