id;youtube_url;artist;title;year
93;https://music.youtube.com/watch?v=cueB7j4ZGrM;James Blunt;Wisemen;2005
94;https://music.youtube.com/watch?v=Cjne8rw6htY;Stereophonics;Mr Writer;2001
95;https://music.youtube.com/watch?v=Q29YR5-t3gg;Cat Stevens;Father and Son O riginal;2012
96;https://music.youtube.com/watch?v=Orv_F2HV4gk;Fast car;Tracy Chapman;2012
97;https://music.youtube.com/watch?v=O1-4u9W-bns;Jason Mraz;I Won't Give Up;2012
98;https://music.youtube.com/watch?v=SSGdUT985P0;Unknown Artist;Private video;2012
99;https://music.youtube.com/watch?v=tH2w6Oxx0kQ;Kansas;Dust in the Wind;1977
100;https://music.youtube.com/watch?v=sYffFEIAzdE;Oasis;Wonderwall lyrics;2012
101;https://music.youtube.com/watch?v=MZjAantupsA;Cameo;Word Up;1986
102;https://music.youtube.com/watch?v=NAFcrFaYTnI;Kenelis;Nobody Sees Me (But You);2007
103;https://music.youtube.com/watch?v=vabnZ9-ex7o;Nirvana;Come As You Are;1991
104;https://music.youtube.com/watch?v=JAzTnsSgs2s;Donovan;Season of the Witch;1966
105;https://music.youtube.com/watch?v=BvsX03LOMhI;davyjones63;the sound of silence lyrics;2012
106;https://music.youtube.com/watch?v=y2kEx5BLoC4;Tracy Chapman;Give me one reason;1995
107;https://music.youtube.com/watch?v=2jH74e3Qo9k;Arlorian Sloane;Sultans of Swing;2012
108;https://music.youtube.com/watch?v=N4d7Wp9kKjA;Unknown Artist;Private video;2012
109;https://music.youtube.com/watch?v=mHPgco6GQk8;Roy Orbison;Oh Pretty Woman;1962
110;https://music.youtube.com/watch?v=AR8D2yqgQ1U;Spandau Ballet;True;1983
111;https://music.youtube.com/watch?v=6OrtLxsqSic;Fleetwood Mac;I'm So Afraid - The Dance - 1997;2012
112;https://music.youtube.com/watch?v=9qFXdgqCcq8;Fleetwood Mac;Storms;1979
113;https://music.youtube.com/watch?v=dKqxzx6tKio;Fleetwood Mac;Silver Springs - The Dance -1997;2012
114;https://music.youtube.com/watch?v=rY0WxgSXdEE;Queen;Another One Bites the Dust;1980
115;https://music.youtube.com/watch?v=Qn6m1F4H5DE;bob marley;three little birds;1977
116;https://music.youtube.com/watch?v=eBy1mGQ_NUA;Fleetwood Mac;Without You;1969
117;https://music.youtube.com/watch?v=Y89nR3yYrpQ;Pink Floyd;Learning To Fly;1987
118;https://music.youtube.com/watch?v=U5VRtNeVIgA;Stereophonics;Innocent;2009
119;https://music.youtube.com/watch?v=1C9YT4Jg-HA;The Social Scuffs;Beautiful Imperfections;2012
120;https://music.youtube.com/watch?v=hTWKbfoikeg;Nirvana;Smells Like Teen Spirit;1991
